	COUNTY	NAME	ST	B00001_001E	B01001_001E	B00002_001E	B08201_001E	state	county
763	133	Putnam County, Indiana	18	4057	37650	1345	12649	18	133
764	135	Randolph County, Indiana	18	3614	25596	1575	10529	18	135
765	137	Ripley County, Indiana	18	3332	28612	1426	10921	18	137
766	139	Rush County, Indiana	18	1901	16991	793	6942	18	139
767	141	St. Joseph County, Indiana	18	25178	267246	10407	102005	18	141
768	143	Scott County, Indiana	18	1652	23783	687	8962	18	143
769	145	Shelby County, Indiana	18	3784	44441	1597	17193	18	145
770	147	Spencer County, Indiana	18	2807	20856	1243	7964	18	147
771	149	Starke County, Indiana	18	2560	23117	1195	8789	18	149
772	151	Steuben County, Indiana	18	3981	34267	2009	13485	18	151
773	153	Sullivan County, Indiana	18	2768	21111	1068	7639	18	153
774	155	Switzerland County, Indiana	18	1191	10500	550	4071	18	155
775	157	Tippecanoe County, Indiana	18	14493	180952	5498	67756	18	157
776	159	Tipton County, Indiana	18	1712	15573	708	6394	18	159
777	161	Union County, Indiana	18	909	7299	398	2963	18	161
778	163	Vanderburgh County, Indiana	18	15099	181305	6567	74217	18	163
779	165	Vermillion County, Indiana	18	2219	15860	1042	6538	18	165
780	167	Vigo County, Indiana	18	9388	108268	3747	40315	18	167
781	169	Wabash County, Indiana	18	3700	32358	1464	12901	18	169
782	171	Warren County, Indiana	18	1335	8367	595	3305	18	171
783	173	Warrick County, Indiana	18	4672	60995	1865	22883	18	173
784	175	Washington County, Indiana	18	2843	27930	1247	10542	18	175
785	177	Wayne County, Indiana	18	7718	67866	3270	27168	18	177
786	179	Wells County, Indiana	18	2878	27796	1169	10831	18	179
787	181	White County, Indiana	18	3310	24388	1547	9513	18	181
788	183	Whitley County, Indiana	18	3298	33330	1381	13152	18	183
789	001	Adair County, Iowa	19	1765	7426	845	3229	19	001
790	003	Adams County, Iowa	19	1089	3892	501	1718	19	003
791	005	Allamakee County, Iowa	19	2242	14060	1134	6048	19	005
792	007	Appanoose County, Iowa	19	2332	12669	1160	5481	19	007
793	009	Audubon County, Iowa	19	1500	5869	721	2659	19	009
794	011	Benton County, Iowa	19	4449	25803	1865	10154	19	011
795	013	Black Hawk County, Iowa	19	13312	132496	5657	52410	19	013
796	015	Boone County, Iowa	19	3233	26401	1398	10759	19	015
797	017	Bremer County, Iowa	19	4157	24539	1692	9365	19	017
798	019	Buchanan County, Iowa	19	3663	20998	1549	8268	19	019
799	021	Buena Vista County, Iowa	19	3577	20507	1468	7635	19	021
800	023	Butler County, Iowa	19	3364	14966	1481	6207	19	023
801	025	Calhoun County, Iowa	19	2517	9914	1228	4261	19	025
802	027	Carroll County, Iowa	19	3673	20629	1629	8547	19	027
803	029	Cass County, Iowa	19	2298	13590	1084	6080	19	029
804	031	Cedar County, Iowa	19	3023	18375	1324	7620	19	031
805	033	Cerro Gordo County, Iowa	19	4914	43481	2333	19519	19	033
806	035	Cherokee County, Iowa	19	2102	11853	968	5334	19	035
807	037	Chickasaw County, Iowa	19	2231	12244	990	5312	19	037
808	039	Clarke County, Iowa	19	1231	9280	533	3744	19	039
809	041	Clay County, Iowa	19	2342	16537	1046	7146	19	041
810	043	Clayton County, Iowa	19	3838	17806	1838	7608	19	043
811	045	Clinton County, Iowa	19	5724	48365	2503	20067	19	045
812	047	Crawford County, Iowa	19	2951	17252	1304	6355	19	047
813	049	Dallas County, Iowa	19	7198	74892	2919	27593	19	049
814	051	Davis County, Iowa	19	1257	8742	523	3165	19	051
815	053	Decatur County, Iowa	19	1831	8249	797	3144	19	053
816	055	Delaware County, Iowa	19	2685	17507	1189	6973	19	055
817	057	Des Moines County, Iowa	19	4302	40208	1945	16741	19	057
818	059	Dickinson County, Iowa	19	2785	16967	1868	7804	19	059
819	061	Dubuque County, Iowa	19	12035	95906	4747	37891	19	061
820	063	Emmet County, Iowa	19	1684	9917	747	4145	19	063
821	065	Fayette County, Iowa	19	3987	20589	1786	8556	19	065
822	067	Floyd County, Iowa	19	2350	16050	1065	6901	19	067
823	069	Franklin County, Iowa	19	1801	10489	824	4258	19	069
824	071	Fremont County, Iowa	19	1863	7106	844	2954	19	071
825	073	Greene County, Iowa	19	1989	9174	909	3927	19	073
826	075	Grundy County, Iowa	19	2802	12407	1240	5183	19	075
827	077	Guthrie County, Iowa	19	2526	10740	1216	4514	19	077
828	079	Hamilton County, Iowa	19	2524	15297	1190	6384	19	079
829	081	Hancock County, Iowa	19	2161	11092	1031	4673	19	081
830	083	Hardin County, Iowa	19	3348	17393	1541	6973	19	083
831	085	Harrison County, Iowa	19	3205	14467	1438	5973	19	085
832	087	Henry County, Iowa	19	3094	20080	1315	7623	19	087
833	089	Howard County, Iowa	19	1568	9494	723	3867	19	089
834	091	Humboldt County, Iowa	19	2148	9674	1013	4190	19	091
835	093	Ida County, Iowa	19	1805	7071	801	3101	19	093
836	095	Iowa County, Iowa	19	2328	16344	979	6819	19	095
837	097	Jackson County, Iowa	19	3466	19572	1550	8433	19	097
838	099	Jasper County, Iowa	19	5217	36726	2150	14437	19	099
839	101	Jefferson County, Iowa	19	1936	17318	790	6913	19	101
840	103	Johnson County, Iowa	19	11320	139436	4520	55426	19	103
841	105	Jones County, Iowa	19	2974	20560	1236	8171	19	105
842	107	Keokuk County, Iowa	19	2639	10291	1210	4347	19	107
843	109	Kossuth County, Iowa	19	3409	15280	1617	6723	19	109
844	111	Lee County, Iowa	19	4251	35369	1930	14412	19	111
845	113	Linn County, Iowa	19	18673	216640	7754	87318	19	113
846	115	Louisa County, Iowa	19	2256	11271	972	4311	19	115
847	117	Lucas County, Iowa	19	1482	8731	693	3678	19	117
848	119	Lyon County, Iowa	19	2685	11723	1108	4496	19	119
849	121	Madison County, Iowa	19	2215	15644	870	6225	19	121
850	123	Mahaska County, Iowa	19	3372	22396	1414	9023	19	123
851	125	Marion County, Iowa	19	3969	33248	1615	12978	19	125
852	127	Marshall County, Iowa	19	5141	40962	2171	15297	19	127
853	129	Mills County, Iowa	19	2318	14862	988	5399	19	129
854	131	Mitchell County, Iowa	19	1808	10762	805	4358	19	131
855	133	Monona County, Iowa	19	1987	9088	1010	4043	19	133
856	135	Monroe County, Iowa	19	935	8002	430	3326	19	135
857	137	Montgomery County, Iowa	19	1907	10465	828	4610	19	137
858	139	Muscatine County, Iowa	19	4321	42913	1796	16345	19	139
859	141	O'Brien County, Iowa	19	2488	14092	1152	6004	19	141
860	143	Osceola County, Iowa	19	1339	6211	626	2670	19	143
861	145	Page County, Iowa	19	2647	15660	1109	6294	19	145
862	147	Palo Alto County, Iowa	19	2012	9208	967	3977	19	147
863	149	Plymouth County, Iowa	19	3775	24853	1591	9995	19	149
864	151	Pocahontas County, Iowa	19	1858	7127	920	3197	19	151
865	153	Polk County, Iowa	19	34844	452369	14117	177049	19	153
866	155	Pottawattamie County, Iowa	19	11620	93213	4920	36683	19	155
867	157	Poweshiek County, Iowa	19	2939	18705	1215	7351	19	157
868	159	Ringgold County, Iowa	19	1395	5061	666	2030	19	159
869	161	Sac County, Iowa	19	2582	10101	1266	4406	19	161
870	163	Scott County, Iowa	19	16067	169994	6909	67709	19	163
871	165	Shelby County, Iowa	19	2491	11992	1137	5066	19	165
872	167	Sioux County, Iowa	19	4989	34509	1776	11765	19	167
873	169	Story County, Iowa	19	10034	93586	3785	35901	19	169
874	171	Tama County, Iowa	19	3814	17479	1619	6790	19	171
875	173	Taylor County, Iowa	19	1862	6213	862	2744	19	173
876	175	Union County, Iowa	19	1836	12575	841	5337	19	175
877	177	Van Buren County, Iowa	19	1854	7432	875	2944	19	177
878	179	Wapello County, Iowa	19	3959	35315	1712	14493	19	179
879	181	Warren County, Iowa	19	6098	47542	2350	18009	19	181
880	183	Washington County, Iowa	19	3066	22017	1313	8938	19	183
881	185	Wayne County, Iowa	19	1634	6384	806	2596	19	185
882	187	Webster County, Iowa	19	5325	37295	2298	15155	19	187
883	189	Winnebago County, Iowa	19	1797	10614	831	4580	19	189
884	191	Winneshiek County, Iowa	19	3530	20884	1432	8248	19	191
885	193	Woodbury County, Iowa	19	10098	102530	4236	38656	19	193
886	195	Worth County, Iowa	19	1793	7563	822	3180	19	195
887	197	Wright County, Iowa	19	2072	12936	994	5495	19	197
888	001	Allen County, Kansas	20	2033	13081	924	5306	20	001
889	003	Anderson County, Kansas	20	1177	7896	553	3280	20	003
890	005	Atchison County, Kansas	20	1854	16633	725	6033	20	005
891	007	Barber County, Kansas	20	1097	4770	576	1981	20	007
892	009	Barton County, Kansas	20	3138	27399	1395	11306	20	009
893	011	Bourbon County, Kansas	20	1810	14812	834	5660	20	011
894	013	Brown County, Kansas	20	2683	9880	1292	4102	20	013
895	015	Butler County, Kansas	20	6810	66092	2641	24273	20	015
896	017	Chase County, Kansas	20	701	2722	360	1110	20	017
897	019	Chautauqua County, Kansas	20	892	3520	479	1557	20	019
898	021	Cherokee County, Kansas	20	2158	20952	1012	7988	20	021
899	023	Cheyenne County, Kansas	20	610	2682	324	1262	20	023
900	025	Clark County, Kansas	20	645	2145	324	927	20	025
901	027	Clay County, Kansas	20	1126	8421	512	3377	20	027
902	029	Cloud County, Kansas	20	1605	9339	780	3964	20	029
903	031	Coffey County, Kansas	20	2183	8458	957	3569	20	031
904	033	Comanche County, Kansas	20	510	2010	257	784	20	033
905	035	Cowley County, Kansas	20	4743	36079	1955	13688	20	035
906	037	Crawford County, Kansas	20	4665	39304	2064	15065	20	037
907	039	Decatur County, Kansas	20	574	2905	310	1473	20	039
908	041	Dickinson County, Kansas	20	2835	19516	1258	7822	20	041
909	043	Doniphan County, Kansas	20	1859	7859	822	3109	20	043
910	045	Douglas County, Kansas	20	8081	114967	3046	43729	20	045
911	047	Edwards County, Kansas	20	937	2991	470	1274	20	047
912	049	Elk County, Kansas	20	902	2683	523	1256	20	049
913	051	Ellis County, Kansas	20	2501	28993	1103	11847	20	051
914	053	Ellsworth County, Kansas	20	1436	6410	659	2585	20	053
915	055	Finney County, Kansas	20	3452	37133	1221	12600	20	055
916	057	Ford County, Kansas	20	2896	34714	1094	11205	20	057
917	059	Franklin County, Kansas	20	3079	25753	1298	9830	20	059
918	061	Geary County, Kansas	20	2783	36787	1126	12723	20	061
919	063	Gove County, Kansas	20	1156	2735	535	1190	20	063
920	065	Graham County, Kansas	20	649	2593	337	1201	20	065
921	067	Grant County, Kansas	20	551	7816	189	2707	20	067
922	069	Gray County, Kansas	20	1457	6065	588	2150	20	069
923	071	Greeley County, Kansas	20	318	1224	149	487	20	071
924	073	Greenwood County, Kansas	20	1481	6393	870	2824	20	073
925	075	Hamilton County, Kansas	20	448	2586	213	998	20	075
926	077	Harper County, Kansas	20	1262	5861	622	2433	20	077
927	079	Harvey County, Kansas	20	3464	34835	1406	13581	20	079
928	081	Haskell County, Kansas	20	878	4130	351	1395	20	081
929	083	Hodgeman County, Kansas	20	601	1939	296	811	20	083
930	085	Jackson County, Kansas	20	2649	13400	1137	5281	20	085
931	087	Jefferson County, Kansas	20	2988	18898	1235	7542	20	087
932	089	Jewell County, Kansas	20	836	3038	516	1433	20	089
933	091	Johnson County, Kansas	20	46751	566814	18819	219735	20	091
934	093	Kearny County, Kansas	20	616	3952	227	1379	20	093
935	095	Kingman County, Kansas	20	1497	7790	700	3006	20	095
936	097	Kiowa County, Kansas	20	832	2536	389	1066	20	097
937	099	Labette County, Kansas	20	3002	21048	1366	8413	20	099
938	101	Lane County, Kansas	20	411	1674	215	805	20	101
939	103	Leavenworth County, Kansas	20	6602	78227	2306	26747	20	103
940	105	Lincoln County, Kansas	20	863	3154	458	1335	20	105
941	107	Linn County, Kansas	20	1562	9528	818	4182	20	107
942	109	Logan County, Kansas	20	585	2793	278	1243	20	109
943	111	Lyon County, Kansas	20	3659	33462	1607	13272	20	111
944	113	McPherson County, Kansas	20	3855	29252	1607	11791	20	113
945	115	Marion County, Kansas	20	2796	12290	1253	4808	20	115
946	117	Marshall County, Kansas	20	2307	10005	1072	4322	20	117
947	119	Meade County, Kansas	20	1063	4383	448	1694	20	119
948	121	Miami County, Kansas	20	2731	32688	1081	12560	20	121
949	123	Mitchell County, Kansas	20	1050	6296	549	2687	20	123
950	125	Montgomery County, Kansas	20	4136	34184	1891	13435	20	125
951	127	Morris County, Kansas	20	1121	5750	574	2406	20	127
952	129	Morton County, Kansas	20	554	3106	262	1189	20	129
953	131	Nemaha County, Kansas	20	2138	10159	895	4239	20	131
954	133	Neosho County, Kansas	20	2137	16423	939	6463	20	133
955	135	Ness County, Kansas	20	914	3077	492	1383	20	135
956	137	Norton County, Kansas	20	824	5590	332	2119	20	137
957	139	Osage County, Kansas	20	3134	16080	1396	6505	20	139
958	141	Osborne County, Kansas	20	1041	3782	548	1764	20	141
959	143	Ottawa County, Kansas	20	1487	6048	640	2493	20	143
960	145	Pawnee County, Kansas	20	863	6911	356	2552	20	145
961	147	Phillips County, Kansas	20	1355	5501	717	2349	20	147
962	149	Pottawatomie County, Kansas	20	2940	22625	1162	8192	20	149
963	151	Pratt County, Kansas	20	1377	9739	629	3902	20	151
964	153	Rawlins County, Kansas	20	708	2545	366	1212	20	153
965	155	Reno County, Kansas	20	6998	64058	3065	25097	20	155
966	157	Republic County, Kansas	20	1294	4806	721	2275	20	157
967	159	Rice County, Kansas	20	1977	10014	853	3881	20	159
968	161	Riley County, Kansas	20	6165	75022	2180	26467	20	161
969	163	Rooks County, Kansas	20	1264	5186	625	2206	20	163
970	165	Rush County, Kansas	20	1003	3184	541	1486	20	165
971	167	Russell County, Kansas	20	1041	6988	542	3239	20	167
972	169	Saline County, Kansas	20	4812	55735	2061	22390	20	169
973	171	Scott County, Kansas	20	235	4928	103	2196	20	171
974	173	Sedgwick County, Kansas	20	42240	506529	17979	192961	20	173
975	175	Seward County, Kansas	20	1814	23274	647	7480	20	175
976	177	Shawnee County, Kansas	20	15073	178792	6504	71368	20	177
977	179	Sheridan County, Kansas	20	556	2531	280	1133	20	179
978	181	Sherman County, Kansas	20	509	6054	242	2786	20	181
979	183	Smith County, Kansas	20	994	3740	582	1667	20	183
980	185	Stafford County, Kansas	20	1187	4320	567	1794	20	185
981	187	Stanton County, Kansas	20	348	2149	164	820	20	187
982	189	Stevens County, Kansas	20	726	5772	272	2007	20	189
983	191	Sumner County, Kansas	20	3638	23638	1658	9091	20	191
984	193	Thomas County, Kansas	20	933	7925	375	3174	20	193
985	195	Trego County, Kansas	20	471	2951	251	1302	20	195
986	197	Wabaunsee County, Kansas	20	1698	6997	771	2668	20	197
987	199	Wallace County, Kansas	20	472	1595	238	625	20	199
988	201	Washington County, Kansas	20	1745	5686	859	2442	20	201
989	203	Wichita County, Kansas	20	398	2204	167	781	20	203
990	205	Wilson County, Kansas	20	1732	9061	830	3769	20	205
991	207	Woodson County, Kansas	20	800	3211	440	1531	20	207
992	209	Wyandotte County, Kansas	20	15217	160806	6559	58870	20	209
993	001	Adair County, Kentucky	21	1939	18852	833	7048	21	001
994	003	Allen County, Kentucky	21	1953	20355	834	7774	21	003
995	005	Anderson County, Kentucky	21	1649	21761	693	8446	21	005
996	007	Ballard County, Kentucky	21	1393	8256	646	3288	21	007
997	009	Barren County, Kentucky	21	3514	42925	1487	16979	21	009
998	011	Bath County, Kentucky	21	1267	11978	601	4297	21	011
999	013	Bell County, Kentucky	21	2405	27950	1078	11088	21	013
1000	015	Boone County, Kentucky	21	7928	124617	2996	44709	21	015
1001	017	Bourbon County, Kentucky	21	2085	20013	899	7867	21	017
1002	019	Boyd County, Kentucky	21	4263	48917	1880	19383	21	019
1003	021	Boyle County, Kentucky	21	3031	29388	1209	11045	21	021
1004	023	Bracken County, Kentucky	21	1241	8425	571	3303	21	023
1005	025	Breathitt County, Kentucky	21	1875	13591	840	5494	21	025
1006	027	Breckinridge County, Kentucky	21	2236	20061	1179	7297	21	027
1007	029	Bullitt County, Kentucky	21	6517	76961	2681	28267	21	029
1008	031	Butler County, Kentucky	21	1342	12835	602	5176	21	031
1009	033	Caldwell County, Kentucky	21	1015	12826	456	5293	21	033
1010	035	Calloway County, Kentucky	21	3156	38106	1391	14834	21	035
1011	037	Campbell County, Kentucky	21	8688	91475	3679	35477	21	037
1012	039	Carlisle County, Kentucky	21	996	4984	464	2059	21	039
1013	041	Carroll County, Kentucky	21	1271	10830	520	3988	21	041
1014	043	Carter County, Kentucky	21	2426	27326	1072	10487	21	043
1015	045	Casey County, Kentucky	21	1550	15954	707	6384	21	045
1016	047	Christian County, Kentucky	21	6614	74159	2373	25521	21	047
1017	049	Clark County, Kentucky	21	3062	35657	1291	14173	21	049
1018	051	Clay County, Kentucky	21	1909	21300	827	7707	21	051
1019	053	Clinton County, Kentucky	21	884	10188	466	3858	21	053
1020	055	Crittenden County, Kentucky	21	1132	9222	506	3755	21	055
1021	057	Cumberland County, Kentucky	21	693	6807	377	2743	21	057
1022	059	Daviess County, Kentucky	21	8205	98173	3371	38536	21	059
1023	061	Edmonson County, Kentucky	21	1045	12105	558	4659	21	061
1024	063	Elliott County, Kentucky	21	852	7725	343	2750	21	063
1025	065	Estill County, Kentucky	21	1367	14476	644	5750	21	065
1026	067	Fayette County, Kentucky	21	24677	308306	10589	125752	21	067
1027	069	Fleming County, Kentucky	21	1563	14544	682	5636	21	069
1028	071	Floyd County, Kentucky	21	3058	38649	1421	15418	21	071
1029	073	Franklin County, Kentucky	21	3415	49778	1484	21033	21	073
1030	075	Fulton County, Kentucky	21	843	6422	403	2568	21	075
1031	077	Gallatin County, Kentucky	21	1143	8567	529	3097	21	077
1032	079	Garrard County, Kentucky	21	1420	16976	609	6594	21	079
1033	081	Grant County, Kentucky	21	1925	24670	779	8325	21	081
1034	083	Graves County, Kentucky	21	3183	37502	1404	14390	21	083
1035	085	Grayson County, Kentucky	21	2438	26001	1266	9840	21	085
1036	087	Green County, Kentucky	21	1358	11149	627	4477	21	087
1037	089	Greenup County, Kentucky	21	4115	36477	1892	14200	21	089
1038	091	Hancock County, Kentucky	21	1342	8669	573	3265	21	091
1039	093	Hardin County, Kentucky	21	7676	107529	3095	40376	21	093
1040	095	Harlan County, Kentucky	21	3395	28400	1606	11406	21	095
1041	097	Harrison County, Kentucky	21	1571	18648	671	7120	21	097
1042	099	Hart County, Kentucky	21	2175	18441	986	7294	21	099
1043	101	Henderson County, Kentucky	21	3960	46396	1700	18742	21	101
1044	103	Henry County, Kentucky	21	2147	15455	920	5992	21	103
1045	105	Hickman County, Kentucky	21	565	4720	264	1973	21	105
1046	107	Hopkins County, Kentucky	21	4851	46518	2166	18622	21	107
1047	109	Jackson County, Kentucky	21	860	13357	398	5546	21	109
1048	111	Jefferson County, Kentucky	21	70898	755809	31484	306915	21	111
1049	113	Jessamine County, Kentucky	21	3711	50328	1361	18312	21	113
1050	115	Johnson County, Kentucky	21	1742	23350	749	9035	21	115
1051	117	Kenton County, Kentucky	21	13402	163007	5879	62225	21	117
1052	119	Knott County, Kentucky	21	1759	16000	796	5984	21	119
1053	121	Knox County, Kentucky	21	2248	31809	1021	12467	21	121
1054	123	Larue County, Kentucky	21	1263	14149	548	5328	21	123
1055	125	Laurel County, Kentucky	21	4276	59751	1798	23164	21	125
1056	127	Lawrence County, Kentucky	21	1627	15821	765	6033	21	127
1057	129	Lee County, Kentucky	21	913	7119	411	2859	21	129
1058	131	Leslie County, Kentucky	21	820	10997	409	4150	21	131
1059	133	Letcher County, Kentucky	21	1987	23671	952	9592	21	133
1060	135	Lewis County, Kentucky	21	1354	13790	645	5373	21	135
1061	137	Lincoln County, Kentucky	21	2094	24498	911	9770	21	137
1062	139	Livingston County, Kentucky	21	1090	9394	566	3826	21	139
1063	141	Logan County, Kentucky	21	2527	26851	1150	10870	21	141
1064	143	Lyon County, Kentucky	21	1254	8402	564	3230	21	143
1065	145	McCracken County, Kentucky	21	4744	65408	2224	27514	21	145
1066	147	McCreary County, Kentucky	21	1266	18001	502	6277	21	147
1067	149	McLean County, Kentucky	21	1442	9500	657	3759	21	149
1068	151	Madison County, Kentucky	21	6614	85838	2564	32064	21	151
1069	153	Magoffin County, Kentucky	21	1245	12979	593	4996	21	153
1070	155	Marion County, Kentucky	21	2359	19717	945	7395	21	155
1071	157	Marshall County, Kentucky	21	2371	31181	1105	12602	21	157
1072	159	Martin County, Kentucky	21	1212	12631	466	4320	21	159
1073	161	Mason County, Kentucky	21	1686	17296	793	6736	21	161
1074	163	Meade County, Kentucky	21	2414	29098	994	10574	21	163
1075	165	Menifee County, Kentucky	21	772	6343	411	2427	21	165
1076	167	Mercer County, Kentucky	21	2085	21342	934	8824	21	167
1077	169	Metcalfe County, Kentucky	21	1124	9985	510	3936	21	169
1078	171	Monroe County, Kentucky	21	1382	10765	647	4443	21	171
1079	173	Montgomery County, Kentucky	21	2144	27167	939	10248	21	173
1080	175	Morgan County, Kentucky	21	1869	13428	784	4808	21	175
1081	177	Muhlenberg County, Kentucky	21	3053	31309	1305	11539	21	177
1082	179	Nelson County, Kentucky	21	3397	44564	1383	16817	21	179
1083	181	Nicholas County, Kentucky	21	840	7075	366	2824	21	181
1084	183	Ohio County, Kentucky	21	2735	24065	1200	8813	21	183
1085	185	Oldham County, Kentucky	21	7165	63037	2343	19706	21	185
1086	187	Owen County, Kentucky	21	987	10711	490	4123	21	187
1087	189	Owsley County, Kentucky	21	466	4616	242	1773	21	189
1088	191	Pendleton County, Kentucky	21	1254	14514	559	5356	21	191
1089	193	Perry County, Kentucky	21	2297	28041	976	11080	21	193
1090	195	Pike County, Kentucky	21	5810	63434	2672	26124	21	195
1091	197	Powell County, Kentucky	21	1052	12447	456	4767	21	197
1092	199	Pulaski County, Kentucky	21	4813	63635	2251	25593	21	199
1093	201	Robertson County, Kentucky	21	368	2208	180	930	21	201
1094	203	Rockcastle County, Kentucky	21	1706	16942	756	6621	21	203
1095	205	Rowan County, Kentucky	21	1704	23608	605	8542	21	205
1096	207	Russell County, Kentucky	21	1749	17669	966	7050	21	207
1097	209	Scott County, Kentucky	21	4467	50178	1711	18421	21	209
1098	211	Shelby County, Kentucky	21	3320	44290	1245	15888	21	211
1099	213	Simpson County, Kentucky	21	1431	17704	592	6793	21	213
1100	215	Spencer County, Kentucky	21	1368	17577	535	6418	21	215
1101	217	Taylor County, Kentucky	21	1772	24993	727	9715	21	217
1102	219	Todd County, Kentucky	21	1490	12524	634	4567	21	219
1103	221	Trigg County, Kentucky	21	1072	14250	536	6014	21	221
1104	223	Trimble County, Kentucky	21	841	8783	383	3548	21	223
1105	225	Union County, Kentucky	21	1748	15138	642	5562	21	225
1106	227	Warren County, Kentucky	21	8667	118950	3336	45387	21	227
1107	229	Washington County, Kentucky	21	1443	11910	622	4495	21	229
1108	231	Wayne County, Kentucky	21	1390	20655	708	7917	21	231
1109	233	Webster County, Kentucky	21	1870	13357	781	5129	21	233
1110	235	Whitley County, Kentucky	21	2560	35794	1000	13110	21	235
1111	237	Wolfe County, Kentucky	21	630	7261	333	2918	21	237
1112	239	Woodford County, Kentucky	21	2359	25317	1051	9802	21	239
1113	001	Acadia Parish, Louisiana	22	4053	62163	1692	22599	22	001
1114	003	Allen Parish, Louisiana	22	2461	25653	884	8027	22	003
1115	005	Ascension Parish, Louisiana	22	5873	114738	2262	40110	22	005
1116	007	Assumption Parish, Louisiana	22	1676	23057	727	8660	22	007
1117	009	Avoyelles Parish, Louisiana	22	3658	41389	1520	14943	22	009
1118	011	Beauregard Parish, Louisiana	22	4578	36259	2008	13152	22	011
1119	013	Bienville Parish, Louisiana	22	1935	13977	1009	5814	22	013
1120	015	Bossier Parish, Louisiana	22	7442	123403	3074	47125	22	015
1121	017	Caddo Parish, Louisiana	22	17317	254742	7961	97991	22	017
1122	019	Calcasieu Parish, Louisiana	22	12983	195887	5553	75325	22	019
1123	021	Caldwell Parish, Louisiana	22	1003	9990	491	3838	22	021
1124	023	Cameron Parish, Louisiana	22	595	6706	287	2608	22	023
1125	025	Catahoula Parish, Louisiana	22	1195	10247	525	3748	22	025
1126	027	Claiborne Parish, Louisiana	22	1846	16639	813	5852	22	027
1127	029	Concordia Parish, Louisiana	22	1881	20449	730	7896	22	029
1128	031	De Soto Parish, Louisiana	22	2751	26965	1286	10244	22	031
1129	033	East Baton Rouge Parish, Louisiana	22	26685	444690	11646	169120	22	033
1130	035	East Carroll Parish, Louisiana	22	768	7501	291	2678	22	035
1131	037	East Feliciana Parish, Louisiana	22	2343	19855	910	6937	22	037
1132	039	Evangeline Parish, Louisiana	22	2858	33768	1235	11954	22	039
1133	041	Franklin Parish, Louisiana	22	2079	20550	899	7469	22	041
1134	043	Grant Parish, Louisiana	22	2342	22362	1001	7197	22	043
1135	045	Iberia Parish, Louisiana	22	4687	73938	1951	26345	22	045
1136	047	Iberville Parish, Louisiana	22	3312	33229	1139	11191	22	047
1137	049	Jackson Parish, Louisiana	22	1889	16109	858	6038	22	049
1138	051	Jefferson Parish, Louisiana	22	32394	435092	15006	168104	22	051
1139	053	Jefferson Davis Parish, Louisiana	22	2718	31434	1182	11652	22	053
1140	055	Lafayette Parish, Louisiana	22	13340	231811	5630	88995	22	055
1141	057	Lafourche Parish, Louisiana	22	7526	97474	3123	35592	22	057
1142	059	LaSalle Parish, Louisiana	22	1452	14899	606	5551	22	059
1143	061	Lincoln Parish, Louisiana	22	3918	47349	1547	17169	22	061
1144	063	Livingston Parish, Louisiana	22	6897	133949	2836	47608	22	063
1145	065	Madison Parish, Louisiana	22	1556	11873	643	4060	22	065
1146	067	Morehouse Parish, Louisiana	22	2214	27012	1069	10447	22	067
1147	069	Natchitoches Parish, Louisiana	22	4268	39330	2174	14456	22	069
1148	071	Orleans Parish, Louisiana	22	36911	376738	19603	153140	22	071
1149	073	Ouachita Parish, Louisiana	22	11728	155769	4790	57690	22	073
1150	075	Plaquemines Parish, Louisiana	22	1629	23599	672	8614	22	075
1151	077	Pointe Coupee Parish, Louisiana	22	2062	22498	1026	8726	22	077
1152	079	Rapides Parish, Louisiana	22	9797	132225	4421	47674	22	079
1153	081	Red River Parish, Louisiana	22	1001	8838	479	3434	22	081
1154	083	Richland Parish, Louisiana	22	2088	20777	839	7619	22	083
1155	085	Sabine Parish, Louisiana	22	3715	24248	2193	9171	22	085
1156	087	St. Bernard Parish, Louisiana	22	4216	42858	1782	14545	22	087
1157	089	St. Charles Parish, Louisiana	22	3814	52639	1487	18383	22	089
1158	091	St. Helena Parish, Louisiana	22	804	10818	399	4131	22	091
1159	093	St. James Parish, Louisiana	22	1841	21650	739	7964	22	093
1160	095	St. John the Baptist Parish, Louisiana	22	2849	44161	1168	15332	22	095
1161	097	St. Landry Parish, Louisiana	22	6847	83613	3115	30683	22	097
1162	099	St. Martin Parish, Louisiana	22	3378	53126	1474	19055	22	099
1163	101	St. Mary Parish, Louisiana	22	4936	53441	2089	20320	22	101
1164	103	St. Tammany Parish, Louisiana	22	15382	242960	6276	89036	22	103
1165	105	Tangipahoa Parish, Louisiana	22	7107	125486	2873	45483	22	105
1166	107	Tensas Parish, Louisiana	22	670	4893	458	1915	22	107
1167	109	Terrebonne Parish, Louisiana	22	6341	112742	2509	40086	22	109
1168	111	Union Parish, Louisiana	22	2033	22533	1057	8517	22	111
1169	113	Vermilion Parish, Louisiana	22	4219	59110	1885	21796	22	113
1170	115	Vernon Parish, Louisiana	22	8349	52476	3707	17842	22	115
1171	117	Washington Parish, Louisiana	22	3254	46556	1403	17604	22	117
1172	119	Webster Parish, Louisiana	22	3882	40617	1858	15765	22	119
1173	121	West Baton Rouge Parish, Louisiana	22	1720	24669	685	9179	22	121
1174	123	West Carroll Parish, Louisiana	22	1520	11454	705	4296	22	123
1175	125	West Feliciana Parish, Louisiana	22	1437	15415	433	3911	22	125
1176	127	Winn Parish, Louisiana	22	1607	14855	654	5513	22	127
1177	001	Androscoggin County, Maine	23	9684	107393	4119	44636	23	001
